"Package","Version"
"AER","1.2-16"
"ALL","1.48.0"
"AUCell","1.12.0"
"AlgDesign","1.2.1.2"
"AnnotationDbi","1.60.0"
"AnnotationFilter","1.14.0"
"AnnotationForge","1.32.0"
"AnnotationHub","3.2.2"
"AsioHeaders","1.30.2-1"
"BB","2026.1.0"
"BBmisc","1.13.1"
"BH","1.90.0-1"
"BSgenome","1.58.0"
"BayesFactor","0.9.12-4.5"
"BiasedUrn","2.0.12"
"BioCor","1.14.0"
"Biobase","2.50.0"
"BiocFileCache","1.14.0"
"BiocGenerics","0.36.1"
"BiocManager","1.30.27"
"BiocNeighbors","1.8.2"
"BiocParallel","1.24.1"
"BiocSingular","1.6.0"
"BiocVersion","3.12.0"
"Biostrings","2.58.0"
"Brobdingnag","1.2-9"
"CARD","1.0"
"CNEr","1.26.0"
"Cairo","1.7-0"
"Category","2.56.0"
"CellChat","1.5.0"
"CellID","0.1.0"
"ChIPseeker","1.32.1"
"CompQuadForm","1.4.4"
"ComplexHeatmap","2.6.2"
"ConsensusClusterPlus","1.70.0"
"CytoTRACE","0.3.3"
"DBI","1.3.0"
"DBItest","1.8.2"
"DDRTree","0.1.6"
"DESeq2","1.30.1"
"DEoptimR","1.1-4"
"DGCA","1.0.3"
"DHARMa","0.4.7"
"DO.db","2.9"
"DOSE","3.16.0"
"DT","0.34.0"
"DelayedArray","0.16.3"
"DelayedMatrixStats","1.12.3"
"DescTools","0.99.19"
"DescrTab2","2.1.16"
"DiagrammeR","1.0.11"
"DiceKriging","1.6.1"
"DirichletMultinomial","1.32.0"
"DistributionUtils","0.6-2"
"DoseFinding","1.4-1"
"DoubletFinder","2.0.4"
"DropletUtils","1.10.3"
"EMT","1.3.2"
"EnhancedVolcano","1.8.0"
"EnsDb.Hsapiens.v86","2.99.0"
"FME","1.3.6.4"
"FNN","1.1.4.1"
"FactoMineR","2.13"
"Formula","1.2-5"
"GENIE3","1.17.1"
"GLMMadaptive","0.9-7"
"GO.db","3.12.1"
"GOSemSim","2.16.1"
"GPArotation","2025.3-1"
"GSEABase","1.52.1"
"GSVA","1.38.2"
"GSVAdata","1.42.0"
"GeneOverlap","1.26.0"
"GeneralizedHyperbolic","0.8-7"
"GenomeInfoDb","1.26.7"
"GenomeInfoDbData","1.2.4"
"GenomicAlignments","1.26.0"
"GenomicFeatures","1.42.3"
"GenomicRanges","1.42.0"
"GetoptLong","1.1.0"
"Glimma","2.16.0"
"GlobalOptions","0.1.3"
"Guerry","1.8.3"
"HDF5Array","1.18.1"
"HGNChelper","0.8.1"
"HSAUR3","1.0-15"
"HSMMSingleCell","1.10.0"
"HiClimR","2.2.1"
"HighFive","3.3.0"
"Hmisc","4.8-0"
"IRanges","2.24.1"
"IRdisplay","1.1"
"ISLR","1.4"
"ISwR","2.0-11"
"JASPAR2020","0.99.10"
"JM","1.5-2"
"KEGGREST","1.30.1"
"KernSmooth","2.23-26"
"Lahman","14.0-0"
"LaplacesDemon","16.1.8"
"LearnBayes","2.15.2"
"MASS","7.3-60"
"MAST","1.16.0"
"MCMCglmm","2.36"
"MCMCpack","1.6-3"
"MEGENA","1.3.7"
"MEMSS","0.9-4"
"MLEcens","0.1-7.1"
"MPV","2.0"
"Matrix","1.5-3"
"Matrix.utils","0.9.8"
"MatrixGenerics","1.2.1"
"MatrixModels","0.5-3"
"ModelMetrics","1.2.2.2"
"MuSiC","0.2.0"
"MySeuratWrappers","0.1.0"
"NMF","0.28"
"NNLM","0.4.4"
"NOISeq","2.34.0"
"NbClust","3.0.1"
"Nebulosa","1.0.2"
"PASWR","1.3"
"PROreg","1.3.2"
"ParamHelpers","1.14.2"
"ProtGenerics","1.22.0"
"QuickJSR","1.9.0"
"R.cache","0.17.0"
"R.methodsS3","1.8.2"
"R.oo","1.27.1"
"R.rsp","0.46.0"
"R.utils","2.13.0"
"R2HTML","2.3.4"
"R6","2.6.1"
"RANN","2.6.2"
"RBGL","1.66.0"
"RColorBrewer","1.1-3"
"RCurl","1.98-1.17"
"ROCR","1.0-12"
"RPostgreSQL","0.7-8"
"RPostgres","1.4.10"
"RProtoBufLib","2.8.0"
"RSQLite","2.4.6"
"RSpectra","0.16-2"
"RUnit","0.4.33.1"
"RVenn","1.1.0"
"RWiener","1.3-3"
"RcisTarget","1.10.0"
"Rcpp","1.1.1"
"RcppAnnoy","0.0.23"
"RcppArmadillo","14.2.3-1"
"RcppEigen","0.3.4.0.2"
"RcppHNSW","0.6.0"
"RcppML","0.3.7.1"
"RcppParallel","5.1.11-2"
"RcppProgress","0.4.2"
"RcppRoll","0.3.1"
"RcppTOML","0.2.3"
"Rdpack","2.6.6"
"ResidualMatrix","1.0.0"
"Rfast","2.1.5.2"
"Rfast2","0.1.5.6"
"Rhdf5lib","1.12.1"
"RhpcBLASctl","0.23-42"
"Rhtslib","1.22.0"
"Rnanoflann","0.0.3"
"Rsamtools","2.6.0"
"Rtsne","0.17"
"Rttf2pt1","1.3.14"
"S4Vectors","0.28.1"
"S7","0.2.1"
"SCENIC","1.1.0-01"
"SCopeLoomR","0.13.0"
"SQUAREM","2021.1"
"Seurat","4.3.0.1"
"SeuratData","0.2.2"
"SeuratDisk","0.0.0.9020"
"SeuratObject","4.1.3"
"SimComp","3.6"
"SingleCellExperiment","1.12.0"
"SingleR","1.4.1"
"SnowballC","0.7.1"
"SpaTalk","1.0"
"SparseM","1.84-2"
"StanHeaders","2.32.10"
"SummarizedExperiment","1.20.0"
"SuppDists","1.1-9.9"
"TFBSTools","1.28.0"
"TFMPvalue","0.0.9"
"TFisher","0.2.0"
"TH.data","1.1-5"
"TMB","1.9.19"
"TSP","1.2.6"
"TTR","0.24.4"
"TxDb.Hsapiens.UCSC.hg19.knownGene","3.2.2"
"TxDb.Mmusculus.UCSC.mm10.ensGene","3.4.0"
"V8","8.0.1"
"VGAM","1.1-11"
"VIM","6.2.2"
"VennDiagram","1.8.2"
"WGCNA","1.74"
"WRS2","1.1-7"
"WriteXLS","6.8.0"
"XML","3.99-0.22"
"XVector","0.30.0"
"abind","1.4-8"
"acepack","1.6.3"
"afex","1.5-1"
"affy","1.68.0"
"affyio","1.60.0"
"agricolae","1.3-7"
"akima","0.6-3.6"
"alabama","2025.1.0"
"alluvial","0.1-2"
"amap","0.8-20"
"annotate","1.68.0"
"aod","1.3.3"
"apcluster","1.4.14"
"ape","5.8-1"
"arm","1.14-4"
"asd","2.2"
"ash","1.0-15"
"askpass","1.2.1"
"assertthat","0.2.1"
"babelgene","22.9"
"babynames","1.0.1"
"backports","1.5.0"
"base","4.0.5"
"base64enc","0.1-6"
"basefun","1.2-6"
"batchelor","1.6.3"
"bayestestR","0.17.0"
"bbmle","1.0.25.1"
"bdsmatrix","1.3-7"
"beachmat","2.6.4"
"beeswarm","0.4.0"
"bench","1.1.4"
"betareg","3.2-4"
"bibtex","0.5.2"
"bigassertr","0.1.7"
"biglm","0.9-3"
"bigparallelr","0.3.2"
"bigstatsr","1.6.2"
"bigutilsr","0.3.11"
"biocViews","1.58.1"
"biomaRt","2.46.3"
"bit","4.6.0"
"bit64","4.6.0-1"
"bitops","1.0-9"
"blme","1.0-7"
"blob","1.3.0"
"bookdown","0.46"
"boot","1.3-32"
"brew","1.0-10"
"bridgesampling","1.2-1"
"brio","1.1.5"
"broom","1.0.7"
"broom.mixed","0.2.9.7"
"bsicons","0.1.2"
"bslib","0.10.0"
"ca","0.71.1"
